ticker,total_var,syst_share,beta,momentum,amihud,log_dolvol,w,year,sec_CommSvcs,sec_ConsDis,sec_ConsStap,sec_Energy,sec_Financials,sec_HealthCare,sec_Industrials,sec_Materials,sec_RealEstate,sec_Utilities
BA,0.00018314921168466347,0.2187246205195413,0.9455226520725393,0.32143884738125406,6.587886773074877e-05,18.95514584984177,2.9156919947151023e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAC,6.31681022229953e-05,0.4153757023471358,0.7652265577325019,0.02374330698443715,2.034642314427292e-05,19.579690225835463,0.00013294603851989953,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIIB,0.0016179661078908586,0.11525163647497072,2.0399937433938313,-0.38598931865221386,8.134262154759442e-05,19.182388729162337,3.591756573481224e-07,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BK,0.0001230849333470887,0.4207496397182193,1.0750654350306197,-0.019104722625144815,0.00017156869728598875,17.699337111124446,1.7196529999655116e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BKNG,0.0006190697211293205,0.09688647002523436,1.1569695343433313,-0.05533976242192809,0.0011641684251801777,16.4341057767792,5.145074084558788e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLK,0.00019259179102810875,0.16292430216332493,0.8368206638297367,0.3534317197570001,0.0027511834211306177,15.266244815631694,0.01867655351507346,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMY,7.924119887699183e-05,0.17415668012149071,0.5549657260787351,-0.06337957491315421,0.00011289805739903706,17.971082061450616,0.05608888905839923,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BRK-B,7.115581464811777e-05,0.05195913100778133,0.2872478006895992,-0.00017035061276730878,0.00015178193874131477,17.506504467850007,0.14126767767546647,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,5.766583859927387e-05,0.34324236446116724,0.6646305862717942,0.04519795258289336,1.3419525018935216e-05,19.87048417794811,0.03716997274522878,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CAT,0.0002599076813346796,0.32249960348056866,1.3677122131001103,0.1879281243664392,8.038090659762613e-05,18.796981171204813,1.53541388749443e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CL,9.598782660243155e-05,0.23489180990052766,0.7093532965524274,0.09126585264719525,0.0001142662892035215,17.96419630684339,9.520923916177317e-05,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMCSA,0.00011947470280739805,0.23852716473205252,0.7974940976750445,-0.24994234887566308,4.368283448753601e-05,19.049830171815625,0.005302779651810515,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,0.00016318091725388243,0.1948966638302678,0.8424758542142806,0.027061869580538633,7.500858360369214e-05,18.67425544485156,0.009137803006550286,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COP,0.0003628000122802339,0.18584912717673674,1.2266890385580909,0.3136268063672038,7.053908363169967e-05,19.22251434435474,4.1371527084115666e-05,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,0.00018269629289946693,0.24112967935076374,0.9915412284738352,0.03143310777782467,9.945241002456985e-05,18.38251694694554,2.262285156216569e-06,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0008078258939440246,0.1186865103461657,1.4627837946888789,0.6376196425040461,0.0012548289748025867,17.097974854320086,2.110961059358767e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSCO,0.0001647784722502688,0.24334299446830968,0.9459762544687066,-0.120893560040137,1.4555286772332992e-05,20.289253933408045,5.862178037393286e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVS,0.000223124622860918,0.2449110175504586,1.1043290231524767,0.1645718993944797,0.00013861825612810667,18.193630078387397,1.3095358426112684e-06,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CVX,0.0002031314030189343,0.2566586922760513,1.0786662680427448,0.10923625043313037,5.4907300728532945e-05,19.19009869442418,0.012426487222942184,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.00013497383819468706,0.29669864877829744,0.9453729208413143,0.16736117945608797,0.0001885793348938887,17.701483575379015,3.813299348190823e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DHR,0.00012850396700274621,0.35424869081158356,1.0079360289296235,-0.027513999477073683,0.00018130561609031726,17.68840157885425,1.1067020230866555e-05,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DIS,0.00012210849704017278,0.2694013566528295,0.8568275205076343,-0.1376589248856747,5.513833618794712e-05,18.841453332813604,3.644492610716538e-05,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUK,0.00011641366060427437,0.33774503092256597,0.9367356138672231,0.14548753712824294,0.00023047589867335866,17.485719866433545,7.3351026277418685e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMR,0.00011446359424196621,0.5290500371450054,1.1625259048494367,0.08823108880485135,0.0001596084680242295,17.7764656976535,1.3291995414632991e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EXC,0.000179931745294107,0.2969230459211506,1.09193409011176,0.2197810720016065,0.00017665186748149736,17.950878359660187,1.8405891682489696e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
F,0.00033016387859161295,0.21543912563370668,1.2599335564131453,-0.6001279643299516,0.00019773217626410886,17.996786149430736,1.2655088994924588e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,0.00020048193019248244,0.30661017518713757,1.1712550440237766,0.05194439979494861,7.373835488586641e-05,18.711381973550967,2.693430576119163e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GD,9.012577850419424e-05,0.3103263095799232,0.7900496555277223,0.10067613813450974,0.0001209864226593059,17.893411541114784,0.01292415357817723,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GE,7.281911817735094e-05,0.4304530028334914,0.8363848425565978,-0.014420234807348473,1.577843367247447e-05,19.867555265711964,2.6547550696753917e-05,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GILD,0.0004086203718945435,0.27850912549000506,1.5936769717875967,0.40708331396039743,0.0001398911858314901,18.57381079397472,5.834288282045304e-07,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GOOGL,0.00041570930018237017,0.09389853312665719,0.9333506822611011,0.7663395231571983,5.644886103448857e-06,21.791608600958273,0.014266658782476752,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GS,0.000135189823658266,0.41105109185997296,1.1136288642245455,0.2141653132386549,3.14320482134557e-05,19.525991026230443,2.872406855395752e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HD,0.00015813242991478081,0.45773759496294997,1.27098182158537,-0.04443682695463993,5.2844522897671205e-05,19.050522701177854,9.90508095116533e-07,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,0.00015562505057274513,0.2969348413116055,1.015525673933789,0.07273908250346055,0.00010787321510756434,18.28805197937656,5.498630458202739e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IBM,0.000126860214655589,0.27296452409107647,0.8790961939642823,-0.17235743097930264,2.6497178934111638e-05,19.41382969973394,0.004595526038422605,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,0.0001686471324080938,0.36996104929785456,1.1800164370957122,0.07821422665625574,1.2267675296269187e-05,20.55351581789752,1.3478718661532592e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,7.534830983445895e-05,0.18404512847143342,0.5563133677421734,-0.03418762659463674,2.4326293152678623e-05,19.422556507465682,0.06634894148149043,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JPM,7.270025502723183e-05,0.4565784371858434,0.8606889768871004,0.05566836989830928,3.031665150399876e-05,19.215437490570096,1.0142185566542256e-05,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KO,5.632175432242136e-05,0.3241116347427925,0.6382722640055746,-0.006633633019363747,4.296520450136076e-05,18.719835301181973,0.044908665276944044,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN,0.0001714624796760423,0.4661368034155856,1.3355551365253397,0.19680674748588506,0.00023408472069771523,17.539591364902183,7.431945461299976e-07,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LLY,0.00013637012693310666,0.10462810839181202,0.5642926379238238,0.024987363470688487,7.207344361949292e-05,18.63074016097817,0.03527151995063609,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LMT,9.247690411208155e-05,0.26584307450199013,0.7407128717644633,0.15284418070651717,0.00010542148483536549,18.07055833511871,0.03302072419841201,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LOW,0.0001785249414140618,0.411686934905108,1.2807181580884492,0.14961941803635248,6.63548345923054e-05,18.848589275753785,1.1925575112509368e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,0.00021793561047594952,0.27070726028155545,1.1474522622909595,0.07078894665637646,9.952207389667526e-05,18.538997453598718,1.8086420439920857e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,8.047286272153172e-05,0.11687162999328314,0.45814172972511474,-0.20609036302540507,0.00037150602427203893,16.718015641268632,0.09230164645026735,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDT,8.960642864639786e-05,0.0977601682264215,0.44215152719148054,0.1545576228489931,5.9299260209495684e-05,18.659245873208015,0.07350497950126815,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MET,0.00018337543080738147,0.2644757464465262,1.0403610263089946,0.20057456941012816,0.00017732357299290444,17.853633374577647,2.4861614997005066e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MMM,0.00011069578970372225,0.2850336388323898,0.8391395394387237,-0.0356237358778317,5.875454845477075e-05,18.665888881408158,0.005531861023445252,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,0.00012712482033362693,0.24658801775010797,0.8364148520086616,0.24459500917783916,0.00024481099957013357,17.31479401945081,8.111118033758859e-05,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRK,0.0002927048561739155,0.09064123925527048,0.769481984291078,0.03962236680055353,6.600907253824528e-05,18.78626336958977,8.399323698266491e-06,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MS,0.00017938692996902084,0.2996750705303446,1.095320666184569,0.041723367933385797,6.14076540692908e-05,18.93497237790268,1.349276190712732e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MSFT,8.156166013878859e-05,0.30057545979548295,0.7396740176941357,-0.009426848240123756,5.544216892307624e-06,20.897961089954187,0.032897807602315025,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,0.0001185499316168166,0.30698387744124694,0.9012162471721215,0.14027847675792435,0.00024234014046947718,17.476558904590075,6.098071369340318e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NKE,0.00015673620086708952,0.24001319972431118,0.9162685841675371,-0.037620013294124476,9.030647078495953e-05,18.496371881716794,0.013676698568317318,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,0.0005293895982812925,0.15824159102714333,1.3673150604251907,0.43940739727804995,0.00013719125700681906,18.70145167930854,3.2106447606172303e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,0.00020633538088424237,0.20908204405437433,0.9812186533087542,-0.11659964805665916,2.346215277720648e-05,19.877662350284734,1.4526435602173972e-05,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,0.0003425900386945437,0.19408763729546724,1.2181671315044535,0.3303307776882644,0.00012271775331066393,18.638565084437808,1.0223240659391151e-05,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,5.487969174712151e-05,0.23884232094852004,0.5408564934154451,0.14183872430007305,4.8895738770940404e-05,18.549147850086825,0.07098215474168476,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,0.00020492954812286572,0.1399385580418456,0.8000029041334251,-0.11237637187758977,3.056495091182396e-05,19.5317942803328,5.8746080898520724e-06,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PG,8.448876074429782e-05,0.3035260678428675,0.7565158699514015,0.06941404519443796,3.0433316424076643e-05,19.331408330840077,0.009663075837994034,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,0.00033566213713798567,0.22192960892202618,1.2893753900212375,0.02459747493139347,3.533557522630929e-05,19.698831443281637,1.9759651748075137e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,0.00010873770037861671,0.4313525071631916,1.0231205562481003,0.09568584984125257,6.93072961048903e-05,18.62143461560269,3.91590710250056e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SBUX,0.0002547343186220243,0.24525497021898937,1.1807914857935102,-0.038246688949802404,8.608966375702468e-05,18.71143195256215,1.112684539738634e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,0.00025722157628825634,0.18283571568197868,1.0244830814912187,0.38259385773180776,5.30100454955991e-05,19.30745724341858,0.014366550983938351,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,7.701262610954668e-05,0.3620289268513756,0.7888113992190574,0.07297771220677238,0.00025416498819265306,17.173104594789727,0.03209709959300359,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SPG,0.00015423973696107552,0.3387494480198572,1.0798365198676747,0.2093315102097786,0.0003063871668029478,17.229698258898686,1.560970376928749e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
T,6.530773289178225e-05,0.2829833006204734,0.6422191964773911,0.019750428432313907,0.00010428579353476563,17.93116760237202,0.050168119809756884,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGT,0.00021362377536952398,0.2926394314143957,1.181168319980047,0.06372841190236606,8.705611713394604e-05,18.661469821994853,1.60188874505042e-06,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMO,0.00018371740923258317,0.15376947202267377,0.7940188137541366,-0.0019888412099207387,0.00036631094303824115,17.0245154419972,0.01198686881434899,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TXN,0.0003326068052137479,0.30025640380440016,1.492905368619746,0.2683282119161115,5.6576621786231994e-05,19.268784819129127,9.315435959703925e-07,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNH,0.00016853395126164683,0.22914183234227714,0.928360101489899,0.3451819958684374,4.453254995345123e-05,19.23534299800739,3.058764072102791e-06,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UNP,0.00017293990200198202,0.32210607111399614,1.114981430896006,0.19752672118823522,0.00017615459903326725,17.816533137779242,2.309437233763833e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
UPS,0.00014968146219069948,0.2946271583763446,0.9920669281969948,-0.1111716410492167,7.526022442913201e-05,18.543860883906696,3.996794616648522e-06,2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
USB,9.081337414734753e-05,0.3520178884789162,0.844652064485547,-0.004639894272222125,0.00012091670396439434,17.948744932085976,9.12780469186251e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ,7.815888504281207e-05,0.25221303520955674,0.6632748301780712,-0.2509912662256436,6.481078708178024e-05,18.457008157964943,0.02543430095993441,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,5.881292314305641e-05,0.44201893628614486,0.7616884941934594,0.04385358859755084,4.419635493440155e-05,18.7408794711095,0.015998132514025924,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WMT,9.031629824557421e-05,0.2672643975468134,0.7339630463901461,-0.10867106249900782,1.735317353154065e-05,19.85529111018458,0.03972717253198366,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,0.0002148908638193303,0.33028181869608186,1.258554087810941,0.11141876771251501,2.0999821925542506e-05,20.1240539912119,1.8952391425092385e-06,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHW,0.00026335492087991224,0.28344665760020893,1.2907049154839334,0.21157794117703593,0.0002578190256428334,17.82635569348017,1.5469596105068001e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAPL,0.000575158525428526,0.1985015706598849,1.563733461796875,0.17176909129815654,1.0144883866246194e-05,21.31730499395626,1.9153873040049166e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,0.00010867765052892518,0.21468091791135904,0.7068932216661271,0.22860525214244934,5.377709100362511e-05,18.7701417236639,0.0012475586873655362,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACN,0.00020118321258252283,0.15444227698714194,0.8157666421456986,0.25934106908868537,0.00021972642356776268,17.779700947866644,0.01947545834203077,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADBE,0.00041770259204086874,0.2200596720802781,1.4031069987009668,0.10774123513189054,7.785916263227324e-05,19.101370276327362,2.0346056917500057e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,7.219378054719507e-05,0.4056708999318369,0.7919974718141896,0.046082234674601374,2.2454024943609392e-05,19.41546222670478,8.209919775893665e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AMD,0.0010551283795623729,0.2341834523123062,2.300476118728152,-0.4056288986035875,4.484387118461578e-05,20.08110184674071,1.7346329241267668e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGN,0.00013766619364399314,0.15907349792282524,0.6848564382919736,-0.14564509476821175,2.16417707083836e-05,19.866737642504507,0.0033977644645053926,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AMT,0.00026788871462756235,0.26661495982248057,1.2368198345642571,0.3304281621729011,0.000197372193097938,18.06384842318296,4.317740520599152e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AMZN,0.0006787632442164664,0.26150330058693116,1.9497760020406152,-0.19570508562675643,6.557384812892328e-05,19.34768957934015,9.342753267270159e-07,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXP,9.743742284433827e-05,0.44997073784002123,0.9690406718913711,0.18149333501246512,3.638646699439643e-05,19.10814170086975,4.680641708077242e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BA,0.0002042486125294366,0.28539282468371197,1.1173469748534217,0.2366303373353678,4.635135879622724e-05,19.24562117010483,5.008314843347962e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAC,6.419555431223543e-05,0.4018559386456738,0.7433179954035113,0.18728478965829887,1.4066286225407998e-05,19.853978697853602,1.0440360882208697e-05,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIIB,0.0002589001113551192,0.32958101816372265,1.351867692351189,0.09661207989379894,8.315338865591311e-05,18.81982671934198,1.8937114280370477e-06,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BK,0.00016779618185430554,0.2960306065847385,1.031445581425768,0.2339404460758743,0.00010970149899494398,18.181760487668072,6.424653342166647e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BKNG,0.0005462867977641623,0.19814380005166973,1.5226061210465822,0.6507212560257121,0.0010126938168988563,17.054223245849485,2.0380655688059184e-06,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLK,0.0003331969917362275,0.2065359541608553,1.2140465623751906,0.35550940038924067,0.0009030789723851192,16.676951222473395,8.225073019312849e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMY,0.00020983584257901257,0.19280070042185002,0.9308530267503317,0.17498042785978316,9.014315543722732e-05,18.413308201859163,1.2364951919912884e-05,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BRK-B,5.125532905883599e-05,0.0499944500866997,0.23427038210626308,0.217635023183467,0.00010764939412761334,17.691970580922792,0.1805888366961667,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,8.173520343113504e-05,0.37734070863476626,0.8127526221523637,0.1776540862585445,1.2843541214553109e-05,20.021625212306212,8.067786877393982e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CAT,0.00032634729101546015,0.2742906023442745,1.3846258812482037,0.0692623056114863,5.220947174089461e-05,19.269477323786077,2.889145977615795e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CL,8.651489895717556e-05,0.0912872664357508,0.41127994114815714,0.18682510648834516,9.373302849716678e-05,18.150267719533346,0.03937419530387706,2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMCSA,0.0001456902228768002,0.26703244188422826,0.9128179937968078,0.48356064473882,4.103911285451951e-05,19.263833201253814,2.095237164298455e-05,2006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,0.00022135384842568667,0.24102678084224224,1.0689642071712226,-0.11976675950824717,7.123054622736517e-05,18.780564625323283,4.288125197984183e-06,2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COP,0.00025356494601654615,0.14318134978809496,0.8818095712606351,0.24361893486352995,3.789985387442607e-05,19.634650824000754,0.015327756279268355,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,0.00018169309808276998,0.3382321811471302,1.1472647586388354,0.06605817891835286,8.335319646297459e-05,18.676362883299017,4.150954642237742e-06,2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0008809110549615136,0.2347271345200563,2.1044308205192266,0.10703864941978083,0.0003614769766767684,17.927665312468637,1.5650738538655817e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSCO,0.00030534922598877143,0.2231744246793142,1.2081131142914345,0.4607526789107486,1.65264694039595e-05,20.40450882866858,3.883116892928759e-06,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVS,0.0002868840837382596,0.13866874427947912,0.9230590690695595,0.15615403844952774,0.00011072718860246256,18.827632077586703,1.11277880787549e-05,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CVX,0.0001662959810039607,0.13138655523503712,0.6840743632208601,0.2957449159819113,4.013229243676859e-05,19.404689529179663,0.03466848970102697,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
D,8.938411362637157e-05,0.15111594196456252,0.5378637621452207,0.11641384386373015,0.00015226643579101294,17.72988923326517,0.03931889958254788,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DHR,0.0001289329105341353,0.5128644104912721,1.1900635394982817,0.2591446474946477,0.00018180815775725704,17.738920746008368,2.66276965509447e-06,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DIS,0.0001453612784368825,0.21305675459909376,0.8144398132001949,0.3581740673571775,3.5907485260250196e-05,19.331270705412795,0.006869570286090703,2006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
